output_index,source_index,selection_rank,uncertainty_block,selection_key_sha256,prompt
199,1029,157,0,0846e70e6a70250ce6c501b08ff26808ff93aa3415a1fb2a3a2eef4030f8e126,A bus driving down a street next to a SUV.
200,1039,797,3,292975815dfd219828f652dfbb61078c45a8de5469b12137e458acff9a35c7d5,A cat with a Durham Bulls Helmet on its head.
201,1042,15,0,00e0891410adeb44e4ab63c053003d8b281051cb128c39be5f8d85f0aad8b6f2,Four geese floating in the middle of a river.
202,1047,254,1,0d00f4610c4f9a21b8b8b803939cc966594b7c41dfc0b487a171fb5efd87f3bc,A train passes on a bridge atop a street.
203,1050,735,2,2657e94729e644750c6f801706145e4a600fc6a6c60e514f258fc213c20cc534,A stop sign behind a green chain link fence.
204,1053,672,2,22d891ff1eb5dc9894b9c81607883aed542d5e6fbcba633fcb62b01c45c1af56,a passenger train sitting on a track next to a building
205,1063,83,0,04c166c8113191d6556544de4b6aaf93bd749d2609dd490210bc8c07b9ad2472,"An orange cat with pointy ears is on a bed, with a laptop computer nearby."
206,1066,874,3,2c85858729643e98ab7e6c0b1b7db0f5bd67ebc25e9b44776d7012584f020f5c,A black and white cat laying next to a remote control.
207,1090,754,3,2766c93b7a6f15345965b9c6c0a105a46fcb9c84337fa585b994c312cfe7be43,A woman standing on a  mountain with skis and poles.
208,1096,752,3,27549d60e2507482da736707178b1df6838353364788fac6fe7b20880542c8ed,Two black and white cats are on a keyboard.
209,1100,391,1,145d2bf17bc21f1efb5965a57946b2ea8cd2d00e93305403a3e487474e984c07,A boy jumping high in the sky on his skate board
210,1107,737,2,266e7c50fe34c077a2ea5933b408b2f1568dd6264c225776c1c8798fdd265ac7,An orange cat about to jump onto a tile floor from a bed.
211,1124,168,0,08d59ed97518973a94323594bd23cce7d810df3d158034097bb0d79553014965,"Two guys playing baseball, with trees in the back."
212,1128,890,3,2d30d1fbd142df6d88c6b7cda712841dbba8acae9eddd83c02f0ef3281a35712,A computer on a desk with a bottle of beer next to it
213,1130,822,3,2a5aea7225cdae6f286b38622113b55270b8edb2b54f737ffa03eb31053920ce,A white stuffed teddy bear sleeping on top of a woman's bosom.
214,1131,772,3,2862747c9c962063c2909d99e0ebf19a9fa326c44930c0ecf81c5323a8e22aba,An old model phone hanging on the wall.
215,1133,390,1,145c3ecbcb69edcb5a5919cb66f97b3c2c62c9914759b3c254a8baa635b0e415,A pair of black machines stacked on each other.
216,1136,73,0,043894221dac7bd8c41f1d518ee6320869c7d5f82510aa346a557bfabfb23c45,A vase filled  with yellow flowers next to a window.
217,1144,77,0,04781a57c6747218090bfc7787a114a8723c0a94a878945eaa70e5637065465a,A full dressed marine is looking at his cell phone.
218,1146,823,3,2a686dfdd6a756a6cc7b8f3a155b91a818395879a29531e485f8658928a571a3,a river.A group of people with life jacket rowing a long boat in
219,1155,151,0,07f43ea1ed984e01fdd94872ad37f20ee7ef85202d63cdc5f6435bec003942fb,A World War Military Motocycle on display at an event.
220,1159,374,1,13ecad89a4e06ccc559472187ea4bf4135c2bf1a5d92df21ff1af0728fbc242d,A photo of the open door of a train.
221,1160,688,2,23b1d239aaa22a82c88bade9d3f846272f3f32ba76c36801d788d41b202d85b4,A television screen is displayed in an empty bus.
222,1161,954,3,310579d5aa7a6e16c47d25604844bb6c907c577e96968907e0f25ca8ef5a6a8f,A tabby cat and a black and white cat looking for trouble.
223,1164,240,0,0c31aaedef826748db028aa8c43fe3f4368eb520455fc8c1812d03bff4e26cca,a traffic light attached to a pole with a sky in the background
224,1186,524,2,1bc50ac99cc4f07f51e126984bb7a172a02dab4944093fc4ec52c9ccef0dc095,A train station with people standing on a platform beside a train.
225,1190,364,1,1362994d019237f7e38c4df12dbe946e5ff99116608f81e655a2e4e15cfd34f3,a man and his friends are standing outside next to a truck
226,1198,916,3,2e8370762586c723f7387348d3e7b550b93abb418e1a71f3b580a0f247739c11,A man is playing with an elephant in a field.
227,1200,175,0,092f11ee7c53a1f31b2f95eef810639c27aec7508080cf859de82cf12d26b43d,PERFORMERS DOING A SHOW IN FRONT OF SPECTATORS
228,1201,89,0,05036f4046b44091e77e4e044a9957bba02d134b698a2cfb8eeec13481e1e4c1,A couple of boats turned over in a forest.
229,1203,453,1,18588cdf028b8ca0ce23a4817d0215285415a0bcd690a12aa2d0cc36c3f9b868,Man riding on the back of a painted elephant.
230,1207,407,1,150ec9d8b8c67ebafc17b3c70ac6af4da487acd81014a67d9e15af8d26fe996a,A group of people standing beside a bench with frisbees.
231,1208,573,2,1dfab653f97caf148e18ca3a18a3e3c89be9363f86367bb68e763805da55fe5f,A large black horse has a long mane of hair.
232,1211,946,3,308fb5b46276322708c5edd6b41d794093c25c440ebfb229f9b80818d6733251,A farmer with draught horses uses a plow to furrow
233,1212,897,3,2dae1b9fe733a08d1b7c6a5907f4ad85fcb0dc4b257e0d9549f1bd91ef9a5f39,The horse is jumping over the poles outside.
234,1219,540,2,1c6d56affbb709e06317c9fa6140c20421176aa5f1b4a1f580cf898d6ab93511,A woman that is handing fruit to someone else.
235,1222,286,1,0e61eac0bc04ee8811e5f917c5ed254e8a2339ed554ef5813bbf62a70a8751f7,An assortment of fruits and vegetable all set together
236,1225,963,3,3175c30d127b076df7ed422e3a59af503408f2d90395e6eac7165f63b358f522,A gourmet hamburger with a beverage behind it.
237,1226,605,2,1fa332192dc59a0f95b2b16ccee85ea3a76865fdd6c8dcb0c2c54bd60550b6cb,A blue and white plate with a chocolate dessert on the plate and powdered sugar on top.
238,1228,877,3,2c9daddcbe55e1684fb70b6a760e30b23a263bd0288e537a3bbf69e72e8c9ef2,The snowboarder is posing for a picture on the mountain.
239,1229,183,0,098023e258037668aef5000e7b7c30ea0cbfed62ec86541cf3fe0577bc0cd65f,A man on skies is cutting through the snow
240,1233,594,2,1f131332fe14e657213129a54d91c8d76abd13128892ad705ea520dd0b7d7ef3,A woman eating a sandwich near a campfire.
241,1243,290,1,0eb80983e44672ad1252947d7a4ed1221e8517ac239eeca500332b175c5e9704,a sleeping child in a bed with a black and white cover
242,1244,311,1,104f6317ba4186cbbccd5e96d61003cf8dca18b4ffaa78f950cfea3af4e79f37,A person shows off his tennis racket in a suit
243,1250,402,1,14d9bb746b9b886baafb186f3a4ae5269985f641427133f5ae2009c65f724431,"A reading room,in the corner of which paint board with a painting is kept."
244,1262,857,3,2b9af2f1df83207c007be6744d3f49e537cf993d9f121d313e68087e14db8fb5,A table with office materials and a laptop on it.
245,1271,231,0,0b8b0673d66d430324386c1fffe47976253e87980c2774ab540476286e2b6813,A busy kitchen next to a dining table and counters with chairs and tables
246,1275,126,0,0704b00f99bda2b88e7f55985b0e3d459f522d19537228b473f72b90bfaa35ff,A bicycle parked in an empty parking lot by itself
247,1283,195,0,09ef184a391cc755f5bfc570611d18089dff009a0b52a3b3b8b507692b4a5ac5,A dog in a cage with a padded bed and water bowl
248,1302,774,3,286d8d2cb49327ffd1aa0db52cbf8a6bac8d3a376c65afb735be4aaacea771c4,A white colored dog with it's mouth open and wearing a person's baseball style cap on it's head.
249,1305,394,1,147e4b82642d71d08cb4f449a1bdc6423b886ac214e165a7dd55ddae07055981,A group of people sitting at a table next to a traffic filled street.
250,1311,588,2,1eb5499ae503453ef661680f1c92d81b0a90ae0813ac0da0c7626eaa13d7f53b,Black cat fell asleep on top of someones keyboard.
251,1327,526,2,1bcd9aae54ea80af5805c212ba84c54ee11d0017188d360f77a63b96325d66be,A young boy who is eating a banana.
252,1331,176,0,0941bb1f44d077edf4ef96e4d71be425fc9f0101480860cfe4cda415bb6af987,A young person on skis posing for a picture.
253,1332,281,1,0e4469d06e94b9a66135d2ad17954490e9d915a8956d0a0926b638d3828eb02d,three teddy bears giving each other a hug
254,1336,485,1,1a296618ca88e15a88b87f0427785fe6d4e43bcad076165d55c90bb4a78c5ed7,The woman wearing skis and a helmet is standing with skis and ski poles.
255,1345,834,3,2ad2b64e2f8d500b6b5d78c16ed289f817b5881d32db1ca9210ae5e3a3b78ff8,A white plate containing various pastries on a wooden table.
256,1354,790,3,290494a1958052e4b3465aeef6cda3cb1130f3f8d502db2831f3ddb21df835d3,Two single beds are pushed up against each other.
257,1371,761,3,27ec8ccd011e3a39bab6dd3fbc7e58287e7d6ce145ddd3fa7e2cb80fada216b4,A woman who is running and swinging a tennis racket.
258,1378,258,1,0d38784b6965e0be0400da8281e40e62fdb16a83e02dbc4d320357f36918d368,Two women standing next to each other in a train station.
259,1381,948,3,3095b7e001bcf88dd86b37fb5c8051672cb501f30d41d99de159994e90c3edd0,A little baby sitting up surrounded by teddy bears.
260,1382,650,2,21891a4842b5093350cc5bdf935c3e7b70916d178ab5833937170f67a882fb97,A blurred picture of a clock tower and a lamp post.
261,1389,820,3,2a4e7f79a4bcf4503593e53d2077054d8c0cb27c10bcecd22efbc2ca14fd663c,A smiling man is behind the counter at a restaurant.
262,1395,725,2,25c9741cea24091955172f987303392cb041d7df538e9ff5a4d1e59e7a1fda42,A bathroom that has been gutted with the shower basin the only thing left.
263,1396,993,3,33079eca083464d5b6409bd9e1c6617cec21b82722040563f49d75c276372d5a,an old black and white photo of cars parked near a building
264,1397,870,3,2c67cc70ee7a2f6f477bc7225ea78e74b218d4ffe50f18be451fb972e2e5a209,a close up of a dog with a car in the back
265,1408,522,2,1bc0bd8d16b26474de026ebdb0fca763d6bf3ac783767b17922cb96a074ca2a8,A sheep inspects a big pile of shaved sheep wool.
266,1410,100,0,05461f6081d0737a4587bc41e199b14047088a6754a57c10ba92c4fec927e92f,a short fire hydrand sitting by the curb of a weedy street
267,1413,468,1,19535f61205c0103d21c08228b41974c10cdd9bd8f4176513446d96c88bb5013,Van drives by a bus sitting at the curb
268,1417,655,2,21a9b6c4c71ff5720111dd8b61ba15bb95cc5b27dc26f95dc982da0163700f40,A man standing on top of a structure under a cloudy sky.
269,1422,329,1,1159524045681357aa863b8c8624573b2772a3ee6821266bb92f40eac8dabb3f,Two red mail boxes along a city street.
270,1425,554,2,1d59c35bd11c2e770557fefff1bdc089192e504e35bbbafdd6b368f35c635f33,A lot of sailboats that are in the water.
271,1429,858,3,2b9f8926f93655c15677840e2bb50f53d193a7a708a99d6b466339154f5e7744,"Talk about a bad hair day, his is frightful."
272,1431,306,1,1003b85da3f3685106d93d37a0e7f02af4e1f0b2b6a752d2cfd722b6887b12f2,"A sculpture of an elephant, decorated with images of other animals."
273,1432,674,2,22e13fec13f4826e51aa15127ce2ee9247ef1c98a5301e90bd0214573384cdbe,A car on road passing by an elephant with mountains in background.
274,1433,757,3,27a2e56000fc26a7ff8bbd55f2d4948542eb57c07d2baa9b423ee5ee01a61d83,An elephant standing on rocks next to a wood bridge.
275,1435,900,3,2dddc40a8a5484d6797fda7d9aab3ad2098eb53b04669a2e5326b25be15a56de,"A small carry-on bag, strapped to the handle of a larger suitcase from the same set of luggage."
276,1438,135,0,0765c263f4a6fcd2a9ff6a86b3b0a0d2aba3d9517c8bf002fcdcf2f1cc9cea69,A dog chasing a coaster frisbee in a field near a wire fence.
277,1446,566,2,1dd9743cb73e3b4e50b6718b6d0ea2eca83a1e32b7107b21006a28b7c75fa06e,The medium sized zebra is looking into the camera.
278,1447,543,2,1c76d4092bb3ba06bb01d724e7c3b7f9c1e07fb32374cf891dcd76cf82f7500d,Some horses are being led In a field
279,1450,998,3,335a63c64896ec1781be7b89f7fe5b12ef473410a559966bfacac9cb36df175c,The horses are racing each other along the beach.
280,1456,441,1,173622a5f678e63e070637769c0bb807ab6b90fc505ea7dfa962149afdabf392,A close-up of an orange on the side of the road.
281,1458,784,3,28c9bfab84c6df6e86b4d92f9d872704e1c36fa54469619484bfaa916f7745d7,two baseball players a fence and green grass
282,1461,631,2,20adbc3c8113a6cf04f71e356d2948a221360d930d06b89505497e9a95436afa,Grainy photograph of thinly sliced fruit in a bowl
283,1462,278,1,0e3c06e788dd15776e25dbe0061641264cc010f87f10fb52e615371225735ba1,People skateboard around a skate park near rails.
284,1465,919,3,2ec5f47d028905189e9da130ff7fcb8e4f04ae7bd0ac1f86d235b2ab02e4d1bf,A man wearing black skiing down a slope.
285,1469,244,0,0c4655a027b0904741cff67475b24f88e56f4f58175611106edf2b119f94cbdd,a man rides his skateboard on a small ledge while another man lights the spray from a can on fire
286,1470,585,2,1e90ecc1bba6ab7ce87325219a25fa24ea96157bdce69a879ac90602b0f64468,there are many different types of food gathered on the table
287,1471,161,0,086bf31f22b7edfc0bb02caff9ca60249a716177c3e833d943927643d2086fe0,A little girl wearing pajamas is riding on a skateboard.
288,1474,462,1,18ec144c378342e4defa575b9229ce0ab3a3561478b74506c985ec0d214e58b2,Two young men skate down an urban road.
289,1477,491,1,1a65c29e30a64d953ba4e60861a553684d6f2c4627327ab43ed050f456e7b5dc,A group of foot ball players standing on top of a football field.
290,1479,942,3,305f721e2c7bffa7f8a69b43fbc807a4ab9708f405232d122cbf88cf89d6553d,A cell phone and game case on a bed.
291,1481,999,3,336be1dccc184037a5344b87e816ff502911e40fc019e07261d2d6954dd6f44b,a body of water that has a guy surfing on it
292,1486,207,0,0a5e3bfe4d2c09489909eb48dcdd80799101684d120a70348a2dd300874fbe56,A man sits at a bar in front of dozens of bottles of alcohol.
293,1489,579,2,1e4897876a8d56da96af73c0202df277aaf7947898885ae0feafc1d924d24681,A person is holding a tomato above a tray.
294,1492,673,2,22dc6e8c78c3fc4378e184efe2de5eb63af2b48a09c0e5d0ad7644fadd5e060e,Two players compete in a video game as another person watches.
295,1498,644,2,215d8fd8f9b9fe53f866ad7acc5c319a720bc0e4d12555c53925d4b2aa3744d4,a watering can for a vase of purple flowers
296,1501,218,0,0aeac4c048d1f60a01f3c77760ed018037ad619545da7036de9885f9e6aca5d1,"A desk with a laptop, two monitors, two speakers, a keyboard, a mouse and a cell phone on it."
297,1504,850,3,2b694de81b8d7b693b8907f02ce29631505fa5c331f0d44e635ddb692f3dbab4,A woman in uniform is talking on a cell phone.
298,1519,361,1,12fc164dde57c9662bd0732e621fbb83babbcd0d8d75f4f11f89caa1f8b0aed5,a very large orange boat floating in a lake
299,1523,91,0,050becf85914c29a48b44e96bcfc64f1e6f07bf4aa1d5abcba482e14efef6863,There are a variety of bottles and two towels over the toilet.
300,1524,589,2,1ec934821da8aace295b47824a4e0f06d1be5356b44f0250aefd071201debca7,The bathroom with the white tile has been cleaned.
301,1525,514,2,1b53d862d6933e6bf9d4bc7c0db1924ade018269426a25f465752624ecb72321,A dog wearing a bandanna and sitting on the trunk of a car.
302,1526,52,0,02a48c9f59f1a0755600cdc85d2c5badd04b28bfb5fa2e01b89b5a2a16ef5db5,"A collage shows a car, a gas station sign, and motor scooters."
303,1528,973,3,323994e709eaaedfaf617f21800be6be5c6f175444b914ffa14dc54342c4afe4,A bright pink toilet seat with the lid open.
304,1533,484,1,1a18b194fa98e2737b70580ce6aa673295393500185a5c39af846e68c04146cd,A motorcycle parked in front of a crowd of people.
305,1535,904,3,2e228c0d63f67463d7f909fc06ee7665276e8769e4db45a6598eaf2421941223,A large golden airplane is on the runway.
306,1542,933,3,2f7f1231c3ab283bbed0a30acb02eb7879386f67674aa49b63ad196d93570468,A grassy pasture with a herd of sheep with mountains in the background.
307,1543,658,2,21f927890bfa3c539e81c76ab0793e8b9fc676ba411a4d87b0848715e1873e34,Traffic in front of Walgreens on a town street.
308,1545,5,0,006573744b93de2cd88f5f808a3245d5e166f1d05e3a4da12e9d136f3f71b4c5,A school bus painted with museum information.
309,1564,665,2,2267386fca5b0be4948eefe66069b50698135c330a515fb7ec0896ef06ef6cd3,A large group of people standing in the street.
310,1570,137,0,076a041a395a05c29f4dc8d723566c46bd81a3d996d75286ac8d327159508faa,A group of baseball players walking across a lush green field.
311,1572,751,3,27406bf121caec82dd8694e61e3f54ce9c5c775f6de78bcd8cdef21ad932f480,A gray cat is sitting in a tall window.
312,1573,108,0,0598a9839e44df255927e66bf298d799a479b4e0996834ad6f7440cf4c6e7b0e,A dog rests his head on the edge of a boat at sea.
313,1577,420,1,15e462a495b043a930d61d06bd9fcd98d2d7d22245b4ea2be10d8de54c26510c,A man in a hat is standing near train tracks.
314,1584,162,0,08704192a9b7c5242c8e756286110237b069cbde498633d3b8af5cd29ac1c937,A girl is playing in a grassy area.
315,1585,327,1,113beb00b94c0b04704f13731cc5b020831eeab32b83a365093e000b30222b3d,A dog is looking into an oven to see what's cooking.
316,1589,110,0,05d13a40eff59800f8f5830c036970c124d1d318fb27c93e94418f4a0aee5335,A horse pulling a wagon behind itself near a fire hydrant.
317,1602,19,0,010c9345c0f8088ddcf284a36e5528c0fc650639a7c20dbed705e439e44b35e7,A man holding a ball in his hand in a room.
318,1604,528,2,1bd844ba67af2ddc3cc06de03de80710d96444b6176b1cdce7b6ad26d377f25d,A smart phone sitting on top sitting on top of a wooden table.
319,1605,302,1,0fd43aea9fb8e3ceee66df186c684efe1772d4d4b12af7005b455f8ea03efb4f,a person riding a skate board on a skate park
320,1611,143,0,078e54a7ccc98660eaf86f45cf64114e31d08d8660f586a1b138759ea5e7a8d9,Three people opening a wrapped sandwich out on the grass.
321,1613,778,3,2899fb99f4622eee3b16c03c64f8bd0efa97d6423a6dcc986460855eadde9a6c,A man in a black suit surfing a large wave
322,1620,744,2,26da9beb4b917d338f9d3cde9ebd620da3a294d9b17d561588d75188c7a24856,The surfer is getting out of the water because the sun is setting.
323,1622,259,1,0d3a391006f4b4becd9c8a5ff8c9fd56e6bf98a9cc8f73199e6b77e2be3a644b,A view of a bunch of pizzas sitting on a table.
324,1626,925,3,2f0141ba9de8be2dc95c5a6af51645472dfac7354e4590ae3bd502fe0db2d439,A group of people are gathered around at television playing WII.
325,1629,545,2,1cf68f3d3e769c1444c88cd0e2e5e8e32602ff6e031b16ac12c456d47d57a44b,A couple of people standing in a room with some remotes.
326,1647,753,3,2755491a6dfb9b1cf068d2ba338887248df8659b4edd7e5e178d465fd6c17b3c,Two people point at what's in a mini fridge.
327,1659,476,1,19b2ff95d84d104c00a2d79c628e5a4100630c8a72c36142e33c3e05e1bc5bac,A giraffe eats leaves through a wire fence.
328,1664,845,3,2b2463c8990b0887240786679def0cb57a670cfb6376ea35d84db4a0c91734e3,The silhouette of two people sitting on a bench in front of the water.
329,1666,377,1,13fa179e3828e0619ce852112c3bc4e088bb79434805ec27e2c6407b438825ef,A city bus drives down a quiet road.
330,1669,739,2,269d9e839e3d4047c0a3073a5e4e628683f00641b9f301acfbb0bd5850f8ba0b,A red fire hydrant on the right side of a road.
331,1670,988,3,32e2f1bd6a8e53fbe0d67f0622216b3f1f7533c36dd8053168b0d1db4ee39bc4,Several people are leaving a bus station with a bus next to it as a person rides by on a bicycle
332,1671,289,1,0eb79c644a7618a076f668c3cdbcaeacb5795f7b64ce9b4bf2e33d39ba8931d8,Children reach over a short barrier to pet small sheep.
333,1678,475,1,19a8f126d7fda5a45237b115cdfa0001e6edc5f94b16c968576edf6caf60af34,A long train filled with tanker cars on rail road tracks.
334,1679,693,2,241e713f6d5ec28bdf31a6289021462f06e521d906489eddc22732db93751c60,The metro train is painted white with blue lettering.
335,1682,46,0,026ea3237936a5b68dd6dc03c903bce856895e28399f19bd8e6cdb10a05786a1,Two trains passing each other on seperate tacks.
336,1688,913,3,2e6ddd3e76aff44c5d199abf2435270c571f08082e49ece37920f95b86929154,some people are sitting on a trolly outside
337,1698,702,2,24bd4fd1f8119493badfdad09e4408cd90176d230ee51256292865272d2f6d23,An elephant that is using it's own trunk to touch a tree trunk.
338,1703,7,0,00758e0e417d8529d38b86df7aad546289fb82f96979b1e42a7f820d010ad6c0,Outside view of the MGM Grand in Las Vegas with people sitting and walking.
339,1704,134,0,075dbce504d2dc8c5b5c193ae282d13bbf7bd74dc9fad7e5e108ea016f78037e,A man drives his bike taxi with luggage in the back.
340,1711,706,2,24e746ac47b0c6d5e9fe674678d0b8d3ffbc86bec2617b0e3c4be56ee4909e40,A man is doing tricks with a frisbee
341,1712,96,0,052f3fe7f80831fa413fcbe9f2222f2a9590e66ff824a0859a1ba97fb0e4852d,The young adults rest while playing Frisbee golf.
342,1713,477,1,19bba52d0f040f7a51156b059d2b20b0dd0a6a12e32adc3959691f02c80c82d6,There are people standing next to a horse.
343,1729,516,2,1b5b0d06d33262d943b40f31b55a530bcafa119202000911ea2f5f7abe013ee1,A person is doing skateboard tricks on a rail.
344,1736,223,0,0b25f2b11eeec8a26578a5a11f440713d4198c8ffe6a21ab30cba41516537a46,A woman putting a hot dog on a bun under a blue tent.
345,1741,296,1,0f3fb94fdbc6b3a4f793517fb7f56418bb266d3b8dba792fb40b2a6d3b3d5cb9,A white plate topped with a sandwich and sliced veggies.
346,1745,359,1,12ed7a0fe26df2ca18053b9ad7415f09fea8433d3897e733e3d42f40f126d20e,Two women handing out cake on plates on a dining table.
347,1754,687,2,23a723220484c2b66eead8eee987136a8c0bc32a54045c576365475fee932363,a tennis player in all white playing on a court
348,1757,304,1,0feae31d2584fd88244f3d9838c0af24465fcd8733f8d3368b9b0bc19dfa7ca4,"A clean and tidy living room with a couch, a table, and a painting on the wall."
349,1759,384,1,141276bedbf2807253f3bd2e5077ed9c8e4ec080e10e2a20acfc3350b3e083a5,"A keyboard, mouse, and wires on a desk."
350,1767,494,1,1a762bb8670efd3a06387916a4ab0107310ab2c994ae9c911da408ac687f660d,A white Samsung microwave oven installed into a natural wood kitchen cabinet.
351,1772,440,1,1735216e4287fa24bbcf3410a65a661d2ef804eba4b64540acd8d0b26a513856,A group of elephants on a grass surface.
352,1775,875,3,2c8a4a6eb55117d3ca2fe3b86e06ec6ac7aefc6566a54a90b48e1975427966dc,A pair of scissors sitting on top of a table.
353,1784,831,3,2acb779cf7096027e63da9e89a3842661f60ac51cce4c2cbbe76957287cb51c4,A line of people are riding bicycles on the street.
354,1787,581,2,1e4fab25725566c2b009af0e08cdf0a6abdb753d2ad3e326997db41d2989e886,Man laughing standing next to his motorcycle with his bicycle attached to it.
355,1792,837,3,2ae0e574d0bd8b0f28567706e0e6fa2d56976fc3b30a1ce8b8ed2e62188a92ed,a bathroom with black walls and a toilet with a silver toilet seat
356,1795,680,2,231fad68581d5265493c808725107a9b1c9ca5503fcd88871a0f434bbbc4a53e,A computer desktop with other office supplies and papers.
357,1799,247,0,0c9ff0b55df27bba52422347bb60ceaede467d98c0b24bfef9c45f638c9e763b,A wooden door in front of an entrance next to a black cat.
358,1808,433,1,16bfbac539f7867fcfd36966f13ec012aae51d63704e6b53a01389625a1bf61c,A small bird sitting on a chair by a table.
359,1819,906,3,2e40e09a0ee95e7b7118bf3472c8a32d14bc6df59b990c74c92ce1a4c30a198a,A large brown cow standing on the side of a lush green hill.
360,1821,4,0,004ac262fb63c6a48a10e16308c6db35dbb942148fc54f9c34e9f3692cf2fd3a,Orange cat looking in the mirror at his reflection
361,1822,518,2,1b7e27b129839806c4592a14a838fbd892aba5bb996fe91cd38b9f60e6986483,A cat looking at a buddha statue through a window.
362,1824,627,2,2087fb6d46a155e0344261c5880c7fe2d7acf39b3c5a3aa3e1981b52bc64c019,A made up bed with a pile of newspapers on it.
363,1828,307,1,1012cc567939246cc8fd90782b4decd025da5194a2a79132e3a3ae708f5c21bf,"A pair of sandals, an umbrellas and other items are piled onto a table."
364,1834,511,2,1b3c3cbe7f62a878e788c1fda80e2060b480b56312e1ed1016c3e4ba2b495eb6,A happy black and white dog next to a frisbee
365,1843,781,3,28ac798efcd0e887aaff5906c844d867001913f73726e308e00ee4fcf42bfc1b,A man in a suit tossing a frisbee
366,1847,740,2,26a16855d71b5435713f602d4739e3b5b9c49fd6096c76007e2e2815eeddf61c,a man looking at a round ball in front of him
367,1857,55,0,02e9c9ea437ce38009384b868d636bb5dce3cfa106f07f3d2eb62f38dd71fed9,A man with a cowboy hat on doing a trick on a skateboard.
368,1858,427,1,163cb1da4dd0106cc3dd177dbf4e831cd6736e1c9373b818ee0e00005e0f3968,A person skiing down a  mountain kicking his leg up.
369,1861,335,1,11bfc38a50dab3e8bb1be9079eccb094d2ddeaf2d81b39f673da567722a1feba,A man who is performing tricks on a skateboard.
370,1866,127,0,071078115941ebacc0ea5e3b9646e8d19238dabf24dae82d2724ff2e52dd0a7b,A young man is snowboarding on top of some snow.
371,1867,945,3,308d4976995ac31b396e6710a0ae38b7fa35fcda9fa8f30f858e417a4679c0d1,a person walking with a bad and a cup
372,1877,853,3,2b84129770237482621a085b996dd445b42b7cd31e41e1d2ba9104c2f3da4597,"A room that has a tv, window, and books, in it."
373,1883,447,1,17ad6b3e6ad1aff4a1488f482d29979a1c127fc3f1dbf8001b7611928132708c,Two people playing a video game in a living room.
374,1885,93,0,050d7684e828872f60eb0755e3989fb0ff03731c4d933adf9a86b5be4bc0670f,A Victorian house looked very much like this model one does.
375,1888,362,1,13205c4e5f2f2b7441280d51290d9ef5d51736f1903842900efaceef26f799c0,A living room with comfortable furniture and large tv
376,1898,539,2,1c59becbda3d35c54d038e01e5be8e7af05ee3b966210f2fec5912400ccf1c28,A laptop computer sitting on a desk with a speaker.
377,1899,630,2,20a9ee276cbdab840c415255a393c075c3d79102cfafe896a54fa98b6e93dfc9,Three people are sitting and waiting on a planter.
378,1902,315,1,10ad222249190893fb970c5b4d0162d250ddac89f994380ab0b0f244387a9eab,An older person standing inside of a kitchen.
379,1903,606,2,1fba0bbd95a14232b583ed7d383f0a5950ee66064a2c28998e5fc58f335f4848,The refrigerator is brand new and was delivered today.
380,1907,738,2,2686b7a5f2243a0442eb7ef7e2e2148cfe9cdc70c64e3a55a4cd40a10f4e9177,Some pretty flowers sitting on a hearth next to a fireplace.
381,1909,950,3,30df812ca8892b29508096970eee00df0221b39dabb7a9d37ad774dae3e5e3d5,A man is wearing surgical type scissors as bifocal glasses.
382,1911,710,2,24fe1a8f042ec4e4c60a0d040b42a1d88e4af0a2a72b20d21ba65e3143e42f36,this is a blow dryer in a bathroom
383,1912,124,0,06d3ca81626bb5d4736682a2bd0ee57ff9639d99baa32718977c1472aa695f8e,"A carryout lunch including sandwich, fruit, and frappucino."
384,1918,63,0,0376af3ba70ae28acd303f3a93b9feec7b040f442eb6ffef0f8ef85b118ee942,A bathroom with a white tub and white cabinets has a black pattern on the floor.
385,1924,597,2,1f3725ab20495f8afd2ac03dedf67903efccd45b1d8fc01273965d5d94a217ee,A black ct with green eyes sitting in the sun.
386,1929,388,1,1437774166bee7168d883bef233571a3af303ddc03da85885d2467f3a5bfc9ff,A jet with smoke pouring from its wings.
387,1930,273,1,0e047d6de1fcbe0106438539e5ee466843b1acac8788a512059e042f3df2d536,An airplane with one wing stands motionless on the tarmac.
388,1931,381,1,140e8a73c86f089b5d42e5a431ac5889a871a81e610dcb2cadf84f1c508312ae,An airplane flying high with a full moon in the background.
389,1938,187,0,09a47f692b5700dd3b894805657edb5f457a0a480d0fa6873fc9a14b69f390ff,A train is pulling into the train station.
390,1955,204,0,0a49abf0e84ba75d4795db757864358c2cf3afdc01cb8e4e2aef8971ab1834b2,a colorful train going along an elevated track
391,1956,502,2,1ad1a48fb00b2675279d402fe7c95268361a3149afde1c30c8fc5faf73b860ce,a train on a train track on an elevated bridge
392,1958,694,2,2433c80e37c58d20397fd0ae7908bf7e6502ea586c96713c7adb105bc745fe9f,A large oval Stop sign near some trees.
393,1962,483,1,1a11f4d02381644ac62bef135422cae28adec9e3bb785646051bdf89f32feb5c,A road sign sitting in front so a billboard.
394,1969,506,2,1ae58d2fb9548c490b62fe58520e0fb3c04b1153fdee0f42de78fb9f53761ec6,sailboats at a dock waiting for a storm to pass
395,1974,380,1,140b5cf929d6bad30f0fa1c27d4544a6ae962ad1487fa759016e2ac5beebc9a0,A bunch of men are running to catch the frisbee that is thrown.
396,1976,596,2,1f36b5ef0f76d42a45a36a1f40cd019c7641117724934d3723419f7962965b11,three people on a field of green grass
